Id,Name,HasLegacyCP
1801410DUS,Caston School Corporation,1
1802280DUS,Whitley Co Cons Schools,
1802400DUS,Concord Community Schools,1
1802610DUS,Decatur County Com Schools,1
1802640DUS,MSD Decatur Township,1
1802800DUS,Duneland School Corporation,
1802970DUS,East Noble School Corporation,1
1803120DUS,Eastern Hancock Co Com Sch Corp,1
1803270DUS,Elkhart Community Schools,1
1803450DUS,Evansville Vanderburgh School Corporation,
1803690DUS,Franklin Community School Corporation,
1803700DUS,Franklin County Com Sch Corp,1
1803810DUS,Frontier School Corporation,
1803870DUS,Gary Community School Corp,1
1803930DUS,Goshen Community Schools,
1803940DUS,Greater Clark County Schools,
1803960DUS,Greater Jasper Con Schs,1
1804050DUS,Greenfield-central Com Schools,
1804260DUS,Hamilton Heights School Corp,
1804350DUS,Hanover Community School Corp,1
1804590DUS,School City Of Hobart,1
1804710DUS,Huntington Co Com Sch Corp,1
1804770DUS,Indianapolis Public Schools,1
1805190DUS,Jennings County Schools,1
1805280DUS,Kankakee Valley School Corp,
1805400DUS,Lafayette School Corporation,1
1805450DUS,Lake Central School Corp,
1805520DUS,Lakeland School Corporation,1
1805580DUS,Laporte Community School Corp,1
1805670DUS,MSD Lawrence Township,1
1805790DUS,Lebanon Community School Corp,1
1806030DUS,Logansport Community Sch Corp,1
1806060DUS,Loogootee Community Sch Corp,1
1806510DUS,MSD Martinsville Schools,1
1806570DUS,Michigan City Area Schools,
1806600DUS,Middlebury Community Schools,1
1806630DUS,Milan Community Schools,
1807110DUS,Eastern Pulaski Com Sch Corp,1
1807140DUS,Mooresville Con School Corp,1
1807230DUS,Yorktown Community Schools,1
1807260DUS,Mt. Vernon Community School Corporation,
1807320DUS,Muncie Community Schools,1
1807620DUS,Nineveh-hensley-jackson United,1
1807650DUS,Noblesville Schools,
1807710DUS,North Daviess Com Schools,1
1807860DUS,North Lawrence Com Schools,1
1807900DUS,North Montgomery Com Sch Corp,1
1808100DUS,North West Hendricks Schools,
1808130DUS,North White School Corp,
1808220DUS,Northern Wells Com Schools,1
1808280DUS,Shenandoah School Corporation,1
1808340DUS,Oak Hill United School Corp,1
1808760DUS,Penn-harris-madison Sch Corp,1
1808820DUS,MSD Perry Township,1
1808900DUS,Pike County School Corp,
1808910DUS,MSD Pike Township,1
1808970DUS,Plainfield Community Sch Corp,
1809480DUS,Richland-bean Blossom C S C,1
1809600DUS,Rising Sun-ohio Co Com,1
1810140DUS,Shelbyville Central Schools,1
1810170DUS,Shoals Community School Corp,1
1810350DUS,South Gibson School Corp,1
